feature,importance
recency_days,0.02278211497515964
total_transactions,0.022143364088005622
contract,0.021717530163236288
frequency_last_3m,0.02150461320085162
monthly_charges,0.014052519517388173
tenure,0.008871540099361207
payment_method,0.006103619588360499
tenure_segment,0.0014194464158977516
avg_transaction_amount,-0.00035486160397449893
avg_amount_last_3m,-0.00042583392476940317
total_charges,-0.0014194464158978515
paperless_billing,-0.004542228530873016
total_spent,-0.004826117814052566
